workload,algorithm,value
50,EPO-CEIS,0.798
50,EPO-CEIS,0.777
50,EPO-CEIS,0.836
50,EPO-CEIS,1.0
50,EPO-CEIS,0.859
50,GA,0.813
50,GA,0.812
50,GA,0.752
50,GA,0.744
50,GA,0.892
50,PSO,0.824
50,PSO,0.724
50,PSO,0.815
50,PSO,0.761
50,PSO,0.673
50,Min-Min,0.775
50,Min-Min,0.667
50,Min-Min,0.703
50,Min-Min,0.62
50,Min-Min,0.746
50,FirstFit,0.621
50,FirstFit,0.646
50,FirstFit,0.777
50,FirstFit,0.634
50,FirstFit,0.68
100,EPO-CEIS,0.855
100,EPO-CEIS,0.997
100,EPO-CEIS,0.949
100,EPO-CEIS,0.984
100,EPO-CEIS,1.0
100,GA,0.666
100,GA,0.878
100,GA,0.866
100,GA,0.616
100,GA,0.82
100,PSO,0.82
100,PSO,0.698
100,PSO,0.706
100,PSO,0.765
100,PSO,0.839
100,Min-Min,0.628
100,Min-Min,0.651
100,Min-Min,0.703
100,Min-Min,0.724
100,Min-Min,0.754
100,FirstFit,0.675
100,FirstFit,0.613
100,FirstFit,0.678
100,FirstFit,0.66
100,FirstFit,0.673
